id:ID,name,parent_id,:LABEL
CH_CHOSA_1,第1章 総論,STD_CHOSA,Chapter
CH_CHOSA_2,第2章 水文・水理観測,STD_CHOSA,Chapter
CH_CHOSA_3,第3章 水文解析,STD_CHOSA,Chapter
CH_CHOSA_4,第4章 河道特性調査,STD_CHOSA,Chapter
CH_CHOSA_5,第5章 洪水流の水理解析,STD_CHOSA,Chapter
CH_CHOSA_6,第6章 河床変動・土砂流送解析,STD_CHOSA,Chapter
CH_CHOSA_7,第7章 氾濫解析,STD_CHOSA,Chapter
CH_CHOSA_8,第8章 河川経済調査,STD_CHOSA,Chapter
CH_CHOSA_9,第9章 水害リスク評価,STD_CHOSA,Chapter
CH_CHOSA_10,第10章 災害調査,STD_CHOSA,Chapter
CH_CHOSA_11,第11章 河川環境調査,STD_CHOSA,Chapter
CH_CHOSA_12,第12章 水質・底質調査,STD_CHOSA,Chapter
CH_CHOSA_13,第13章 湖沼・ダム貯水池の環境調査,STD_CHOSA,Chapter
CH_CHOSA_14,第14章 汽水域・河口域の環境調査,STD_CHOSA,Chapter
CH_CHOSA_15,第15章 土質地質調査,STD_CHOSA,Chapter
CH_CHOSA_16,第16章 総合的な土砂管理の調査,STD_CHOSA,Chapter
CH_CHOSA_17,第17章 砂防調査,STD_CHOSA,Chapter
CH_CHOSA_18,第18章 地すべり調査,STD_CHOSA,Chapter
CH_CHOSA_19,第19章 急傾斜地調査,STD_CHOSA,Chapter
CH_CHOSA_20,第20章 雪崩調査,STD_CHOSA,Chapter
CH_CHOSA_21,第21章 海岸調査,STD_CHOSA,Chapter
CH_CHOSA_22,第22章 測量・計測,STD_CHOSA,Chapter
CH_CHOSA_23,第23章 調査結果の保存,STD_CHOSA,Chapter
CH_KEIKAKU_KIHON_1,第1章 総論,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_KIHON_2,第2章 流域の概括的特性,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_KIHON_3,第3章 計画の基本となる事項,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_KIHON_4,第4章 計画高水流量,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_KIHON_5,第5章 計画規模,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_KIHON_6,第6章 環境に関する事項,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_KIHON_7,第7章 流砂に関する事項,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_KIHON_8,第8章 砂防施設の配置,STD_KEIKAKU_KIHON,Chapter
CH_KEIKAKU_SHISETSU_1,第1章 総論,STD_KEIKAKU_SHISETSU,Chapter
CH_KEIKAKU_SHISETSU_2,第2章 河道計画,STD_KEIKAKU_SHISETSU,Chapter
CH_KEIKAKU_SHISETSU_3,第3章 河川施設の配置計画,STD_KEIKAKU_SHISETSU,Chapter
CH_KEIKAKU_SHISETSU_4,第4章 ダム計画,STD_KEIKAKU_SHISETSU,Chapter
CH_KEIKAKU_SHISETSU_5,第5章 砂防計画,STD_KEIKAKU_SHISETSU,Chapter
CH_SEKKEI_1,第1章 総論,STD_SEKKEI,Chapter
CH_SEKKEI_2,第2章 堤防,STD_SEKKEI,Chapter
CH_SEKKEI_3,第3章 護岸,STD_SEKKEI,Chapter
CH_SEKKEI_4,第4章 水制,STD_SEKKEI,Chapter
CH_SEKKEI_5,第5章 床止め,STD_SEKKEI,Chapter
CH_SEKKEI_6,第6章 堰,STD_SEKKEI,Chapter
CH_SEKKEI_7,第7章 樋門・水門,STD_SEKKEI,Chapter
CH_SEKKEI_8,第8章 排水機場,STD_SEKKEI,Chapter
CH_SEKKEI_9,第9章 ダム,STD_SEKKEI,Chapter
CH_SEKKEI_10,第10章 砂防堰堤,STD_SEKKEI,Chapter
CH_SEKKEI_11,第11章 床固工,STD_SEKKEI,Chapter
CH_SEKKEI_12,第12章 山腹工,STD_SEKKEI,Chapter
CH_SEKKEI_13,第13章 渓流保全工,STD_SEKKEI,Chapter
CH_SEKKEI_14,第14章 地すべり防止施設,STD_SEKKEI,Chapter
CH_SEKKEI_15,第15章 急傾斜地崩壊防止施設,STD_SEKKEI,Chapter
CH_SEKKEI_16,第16章 雪崩対策施設,STD_SEKKEI,Chapter
CH_IJIKANRI_KASEN_1,第1章 総説,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_2,第2章 河川維持管理に関する計画,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_3,第3章 河川維持管理目標,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_4,第4章 河川の状態把握,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_5,第5章 河道流下能力の維持管理のための対策,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_6,第6章 施設の維持及び修繕・対策,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_7,第7章 河川区域等の維持管理対策,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_8,第8章 河川環境の維持管理対策,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_KASEN_9,第9章 水防等のための対策,STD_IJIKANRI_KASEN,Chapter
CH_IJIKANRI_DAM_1,第1章 総説,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_2,第2章 ダム維持管理計画,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_3,第3章 ダム維持管理目標,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_4,第4章 ダムの状態把握,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_5,第5章 ダムの維持及び修繕,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_6,第6章 流水管理,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_7,第7章 堆砂対策,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_8,第8章 ダム周辺の維持管理,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_DAM_9,第9章 非常時対応,STD_IJIKANRI_DAM,Chapter
CH_IJIKANRI_SABO_1,第1章 総説,STD_IJIKANRI_SABO,Chapter
CH_IJIKANRI_SABO_2,第2章 砂防関係施設維持管理計画,STD_IJIKANRI_SABO,Chapter
CH_IJIKANRI_SABO_3,第3章 砂防関係施設維持管理目標,STD_IJIKANRI_SABO,Chapter
CH_IJIKANRI_SABO_4,第4章 砂防関係施設の状態把握,STD_IJIKANRI_SABO,Chapter
CH_IJIKANRI_SABO_5,第5章 砂防関係施設の維持及び修繕,STD_IJIKANRI_SABO,Chapter
CH_IJIKANRI_SABO_6,第6章 土砂災害等への対応,STD_IJIKANRI_SABO,Chapter
SEC_IJIKANRI_KASEN_1_1,第1節 目的,CH_IJIKANRI_KASEN_1,Section
SEC_IJIKANRI_KASEN_1_2,第2節 河川維持管理の基本方針,CH_IJIKANRI_KASEN_1,Section
SEC_IJIKANRI_KASEN_1_3,第3節 適用範囲,CH_IJIKANRI_KASEN_1,Section
SEC_IJIKANRI_KASEN_2_1,第1節 河川維持管理計画,CH_IJIKANRI_KASEN_2,Section
SEC_IJIKANRI_KASEN_2_2,第2節 サイクル型維持管理,CH_IJIKANRI_KASEN_2,Section
SEC_IJIKANRI_KASEN_3_1,第1節 一般,CH_IJIKANRI_KASEN_3,Section
SEC_IJIKANRI_KASEN_3_2,第2節 河道流下能力の維持に係る目標設定,CH_IJIKANRI_KASEN_3,Section
SEC_IJIKANRI_KASEN_3_3,第3節 施設の機能維持に係る目標設定,CH_IJIKANRI_KASEN_3,Section
SEC_IJIKANRI_KASEN_4_1,第1節 一般,CH_IJIKANRI_KASEN_4,Section
SEC_IJIKANRI_KASEN_4_2,第2節 基本データの収集,CH_IJIKANRI_KASEN_4,Section
SEC_IJIKANRI_KASEN_4_3,第3節 巡視,CH_IJIKANRI_KASEN_4,Section
SEC_IJIKANRI_KASEN_4_4,第4節 点検,CH_IJIKANRI_KASEN_4,Section
SEC_IJIKANRI_KASEN_4_5,第5節 施設点検結果の評価及び記録,CH_IJIKANRI_KASEN_4,Section
SEC_IJIKANRI_KASEN_6_1,第1節 一般,CH_IJIKANRI_KASEN_6,Section
SEC_IJIKANRI_KASEN_6_2,第2節 堤防の維持,CH_IJIKANRI_KASEN_6,Section
SEC_IJIKANRI_KASEN_6_3,第3節 護岸・根固工・水制の維持,CH_IJIKANRI_KASEN_6,Section
SEC_IJIKANRI_KASEN_6_4,第4節 床止めの維持,CH_IJIKANRI_KASEN_6,Section
SEC_IJIKANRI_KASEN_6_5,第5節 堰・水門・樋門・排水機場等の維持,CH_IJIKANRI_KASEN_6,Section
SEC_IJIKANRI_DAM_1_1,第1節 目的,CH_IJIKANRI_DAM_1,Section
SEC_IJIKANRI_DAM_1_2,第2節 ダム維持管理の基本方針,CH_IJIKANRI_DAM_1,Section
SEC_IJIKANRI_DAM_4_1,第1節 一般,CH_IJIKANRI_DAM_4,Section
SEC_IJIKANRI_DAM_4_2,第2節 点検,CH_IJIKANRI_DAM_4,Section
SEC_IJIKANRI_DAM_4_3,第3節 診断,CH_IJIKANRI_DAM_4,Section
SEC_IJIKANRI_DAM_7_1,第1節 一般,CH_IJIKANRI_DAM_7,Section
SEC_IJIKANRI_DAM_7_2,第2節 堆砂調査,CH_IJIKANRI_DAM_7,Section
SEC_IJIKANRI_DAM_7_3,第3節 堆砂対策,CH_IJIKANRI_DAM_7,Section
SEC_IJIKANRI_SABO_4_1,第1節 一般,CH_IJIKANRI_SABO_4,Section
SEC_IJIKANRI_SABO_4_2,第2節 砂防堰堤の状態把握,CH_IJIKANRI_SABO_4,Section
SEC_IJIKANRI_SABO_4_3,第3節 床固工の状態把握,CH_IJIKANRI_SABO_4,Section
SEC_IJIKANRI_SABO_4_4,第4節 山腹工の状態把握,CH_IJIKANRI_SABO_4,Section
SEC_IJIKANRI_SABO_5_1,第1節 一般,CH_IJIKANRI_SABO_5,Section
SEC_IJIKANRI_SABO_5_2,第2節 砂防堰堤の維持,CH_IJIKANRI_SABO_5,Section
SEC_IJIKANRI_SABO_5_3,第3節 床固工の維持,CH_IJIKANRI_SABO_5,Section
ITEM_IJIKANRI_KASEN_1_1_1,本基準の目的,SEC_IJIKANRI_KASEN_1_1,Item
ITEM_IJIKANRI_KASEN_1_1_2,河川維持管理の技術的基準を定める際の基本的な考え方,SEC_IJIKANRI_KASEN_1_1,Item
ITEM_IJIKANRI_KASEN_1_1_3,本基準の位置付け,SEC_IJIKANRI_KASEN_1_1,Item
ITEM_IJIKANRI_KASEN_1_2_1,河川維持管理の基本方針,SEC_IJIKANRI_KASEN_1_2,Item
ITEM_IJIKANRI_KASEN_2_1_1,一般,SEC_IJIKANRI_KASEN_2_1,Item
ITEM_IJIKANRI_KASEN_2_1_2,計画に定める事項,SEC_IJIKANRI_KASEN_2_1,Item
ITEM_IJIKANRI_KASEN_2_2_1,サイクル型維持管理体系の構築,SEC_IJIKANRI_KASEN_2_2,Item
ITEM_IJIKANRI_KASEN_2_2_2,河道計画等との関係,SEC_IJIKANRI_KASEN_2_2,Item
ITEM_IJIKANRI_KASEN_3_3_1,基本,SEC_IJIKANRI_KASEN_3_3,Item
ITEM_IJIKANRI_KASEN_3_3_2,河道（河床低下・洗掘の対策）に係る目標,SEC_IJIKANRI_KASEN_3_3,Item
ITEM_IJIKANRI_KASEN_3_3_3,堤防に係る目標,SEC_IJIKANRI_KASEN_3_3,Item
ITEM_IJIKANRI_KASEN_3_3_4,護岸・根固工・水制工に係る目標,SEC_IJIKANRI_KASEN_3_3,Item
ITEM_IJIKANRI_KASEN_3_3_5,床止めに係る目標,SEC_IJIKANRI_KASEN_3_3,Item
ITEM_IJIKANRI_KASEN_3_3_6,堰・水門・樋門・排水機場等に係る目標,SEC_IJIKANRI_KASEN_3_3,Item
ITEM_IJIKANRI_DAM_1_2_1,ダム維持管理の基本方針,SEC_IJIKANRI_DAM_1_2,Item
ITEM_IJIKANRI_DAM_4_2_1,定期点検,SEC_IJIKANRI_DAM_4_2,Item
ITEM_IJIKANRI_DAM_4_2_2,臨時点検,SEC_IJIKANRI_DAM_4_2,Item
ITEM_IJIKANRI_DAM_4_2_3,詳細点検,SEC_IJIKANRI_DAM_4_2,Item
ITEM_IJIKANRI_DAM_7_2_1,堆砂量の測定,SEC_IJIKANRI_DAM_7_2,Item
ITEM_IJIKANRI_DAM_7_3_1,排砂,SEC_IJIKANRI_DAM_7_3,Item
ITEM_IJIKANRI_DAM_7_3_2,掘削除去,SEC_IJIKANRI_DAM_7_3,Item
ITEM_IJIKANRI_SABO_4_2_1,巡視,SEC_IJIKANRI_SABO_4_2,Item
ITEM_IJIKANRI_SABO_4_2_2,定期点検,SEC_IJIKANRI_SABO_4_2,Item
ITEM_IJIKANRI_SABO_4_2_3,臨時点検,SEC_IJIKANRI_SABO_4_2,Item
ITEM_IJIKANRI_SABO_4_2_4,詳細点検,SEC_IJIKANRI_SABO_4_2,Item
